,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
30,David Raya,es ESP,GK,Arsenal,29,1995,37,37,3330,37.0,26,0.70,86,59,69.8,25,7,5,19,51.4,0,0,0,0,,Matches,98ea5115
31,Robin Roefs,nl NED,GK,Sunderland,22,2003,35,35,3150,35.0,46,1.31,154,108,70.1,12,12,11,10,28.6,3,2,1,0,33.3,Matches,349fa918
32,José Sá,pt POR,GK,Wolves,32,1993,23,23,2070,23.0,37,1.61,102,65,63.7,3,8,12,4,17.4,3,3,0,0,0.0,Matches,903b6e8b
33,Robert Sánchez,es ESP,GK,Chelsea,27,1997,35,35,3039,33.8,49,1.45,147,97,66.7,13,8,14,9,25.7,2,2,0,0,0.0,Matches,6a713852
34,Matz Sels,be BEL,GK,Nottingham,33,1992,31,30,2668,29.6,39,1.32,132,93,70.5,10,10,10,7,23.3,5,4,1,0,20.0,Matches,834b5c4c
35,James Trafford,eng ENG,GK,Manchester City,22,2002,4,4,360,4.0,6,1.50,20,14,70.0,1,0,3,1,25.0,1,1,0,0,0.0,Matches,259fea27
36,Hákon Valdimarsson,is ISL,GK,Brentford,23,2001,1,1,90,1.0,3,3.00,4,1,25.0,1,0,0,0,0.0,0,0,0,0,,Matches,57a34cf4
37,Bart Verbruggen,nl NED,GK,Brighton,22,2002,38,38,3420,38.0,46,1.21,151,103,69.5,14,11,13,10,26.3,6,5,1,0,16.7,Matches,cf134113
38,Guglielmo Vicario,it ITA,GK,Tottenham,28,1996,31,31,2790,31.0,50,1.61,133,83,62.4,7,9,15,7,22.6,2,2,0,0,0.0,Matches,77d6fd4d
39,Max Weiß,de GER,GK,Burnley,21,2004,3,3,270,3.0,4,1.33,14,10,71.4,0,2,1,0,0.0,1,1,0,0,0.0,Matches,882228c2
40,Freddie Woodman,eng ENG,GK,Liverpool,28,1997,3,2,213,2.4,4,1.69,13,9,69.2,1,0,1,0,0.0,0,0,0,0,,Matches,19e50035
